Loading val dataloader successfully! -- 8.867563009262085
Loading Train dataloader successfully! -- 176.7682192325592
Loading Test dataloader successfully! -- 0.9259908199310303
Loading val dataloader successfully! -- 8.918102741241455
Loading Train dataloader successfully! -- 177.61992597579956
Loading Test dataloader successfully! -- 0.0978853702545166
Starting training process...
Epoch: [0][130/1260]	Time 4.569s (4.583s)	Speed 3.5 samples/s	Data 0.008s (0.048s)	Loss 233.90579 (274.77524)	Accuracy 0.562 (0.525)	 Cls Loss: 0.67952	 loss_cstency: 67.33001
Epoch: [0][135/1260]	Time 4.560s (4.582s)	Speed 3.5 samples/s	Data 0.008s (0.046s)	Loss 218.26447 (273.61022)	Accuracy 0.625 (0.528)	 Cls Loss: 0.67658	 loss_cstency: 64.75836
Epoch: [0][140/1260]	Time 4.578s (4.582s)	Speed 3.5 samples/s	Data 0.008s (0.045s)	Loss 229.74473 (272.49999)	Accuracy 0.438 (0.529)	 Cls Loss: 0.66991	 loss_cstency: 63.06587
Epoch: [0][145/1260]	Time 4.570s (4.582s)	Speed 3.5 samples/s	Data 0.008s (0.044s)	Loss 244.00228 (271.91255)	Accuracy 0.688 (0.530)	 Cls Loss: 0.68253	 loss_cstency: 63.44087
Epoch: [0][150/1260]	Time 4.565s (4.582s)	Speed 3.5 samples/s	Data 0.008s (0.043s)	Loss 252.38995 (270.98760)	Accuracy 0.500 (0.531)	 Cls Loss: 0.66908	 loss_cstency: 60.19976
Epoch: [0][155/1260]	Time 4.596s (4.581s)	Speed 3.5 samples/s	Data 0.008s (0.041s)	Loss 232.91721 (269.73287)	Accuracy 0.500 (0.532)	 Cls Loss: 0.66366	 loss_cstency: 66.12177
Epoch: [0][160/1260]	Time 4.605s (4.581s)	Speed 3.5 samples/s	Data 0.008s (0.040s)	Loss 215.23164 (268.31957)	Accuracy 0.625 (0.536)	 Cls Loss: 0.68625	 loss_cstency: 56.41612
Epoch: [0][165/1260]	Time 4.551s (4.581s)	Speed 3.5 samples/s	Data 0.008s (0.039s)	Loss 209.04691 (266.90004)	Accuracy 0.438 (0.538)	 Cls Loss: 0.67358	 loss_cstency: 52.55583
Epoch: [0][170/1260]	Time 4.591s (4.581s)	Speed 3.5 samples/s	Data 0.008s (0.039s)	Loss 204.50342 (265.98288)	Accuracy 0.750 (0.541)	 Cls Loss: 0.63012	 loss_cstency: 49.34604
Epoch: [0][175/1260]	Time 4.558s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.038s)	Loss 221.81239 (264.69708)	Accuracy 0.438 (0.543)	 Cls Loss: 0.68247	 loss_cstency: 53.08575
Epoch: [0][180/1260]	Time 4.554s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.037s)	Loss 218.03698 (263.48796)	Accuracy 0.625 (0.544)	 Cls Loss: 0.68041	 loss_cstency: 49.16199
Epoch: [0][185/1260]	Time 4.573s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.036s)	Loss 236.68930 (262.52909)	Accuracy 0.562 (0.545)	 Cls Loss: 0.69608	 loss_cstency: 47.81340
Epoch: [0][190/1260]	Time 4.560s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.035s)	Loss 208.34416 (261.34838)	Accuracy 0.500 (0.546)	 Cls Loss: 0.68640	 loss_cstency: 44.29278
Epoch: [0][195/1260]	Time 4.584s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.035s)	Loss 214.32668 (260.49661)	Accuracy 0.625 (0.548)	 Cls Loss: 0.65767	 loss_cstency: 51.28208
Epoch: [0][200/1260]	Time 4.557s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.034s)	Loss 251.25594 (259.56904)	Accuracy 0.750 (0.551)	 Cls Loss: 0.65066	 loss_cstency: 44.59058
Epoch: [0][205/1260]	Time 4.573s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.033s)	Loss 223.02658 (258.93179)	Accuracy 0.688 (0.553)	 Cls Loss: 0.66603	 loss_cstency: 43.20797
Epoch: [0][210/1260]	Time 4.556s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.033s)	Loss 210.28951 (257.94463)	Accuracy 0.625 (0.553)	 Cls Loss: 0.68575	 loss_cstency: 41.37705
Epoch: [0][215/1260]	Time 4.559s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.032s)	Loss 199.38552 (256.67394)	Accuracy 0.688 (0.554)	 Cls Loss: 0.67597	 loss_cstency: 39.84840
Epoch: [0][220/1260]	Time 4.585s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.032s)	Loss 189.92887 (255.60056)	Accuracy 0.625 (0.556)	 Cls Loss: 0.66873	 loss_cstency: 41.04691
Epoch: [0][225/1260]	Time 4.563s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.031s)	Loss 276.88900 (255.44889)	Accuracy 0.562 (0.558)	 Cls Loss: 0.65508	 loss_cstency: 39.45288
Epoch: [0][230/1260]	Time 4.561s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.031s)	Loss 223.12377 (254.46032)	Accuracy 0.500 (0.559)	 Cls Loss: 0.66663	 loss_cstency: 39.03179
Epoch: [0][235/1260]	Time 4.599s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.030s)	Loss 222.99834 (253.78656)	Accuracy 0.562 (0.559)	 Cls Loss: 0.64897	 loss_cstency: 37.91544
Epoch: [0][240/1260]	Time 4.561s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.030s)	Loss 201.72741 (252.94559)	Accuracy 0.688 (0.561)	 Cls Loss: 0.67957	 loss_cstency: 37.43218
Epoch: [0][245/1260]	Time 4.564s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.029s)	Loss 213.86470 (252.32296)	Accuracy 0.750 (0.564)	 Cls Loss: 0.64304	 loss_cstency: 37.37434
Epoch: [0][250/1260]	Time 4.585s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.029s)	Loss 255.23109 (251.49560)	Accuracy 0.625 (0.564)	 Cls Loss: 0.65047	 loss_cstency: 37.80945
Epoch: [0][255/1260]	Time 4.564s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.028s)	Loss 188.54588 (250.60520)	Accuracy 0.625 (0.565)	 Cls Loss: 0.65608	 loss_cstency: 35.39070
Epoch: [0][260/1260]	Time 4.560s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.028s)	Loss 193.42588 (249.56036)	Accuracy 0.625 (0.566)	 Cls Loss: 0.67479	 loss_cstency: 36.79564
Epoch: [0][265/1260]	Time 4.569s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.028s)	Loss 198.88671 (248.89138)	Accuracy 0.750 (0.568)	 Cls Loss: 0.60246	 loss_cstency: 35.37257
Epoch: [0][270/1260]	Time 4.610s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.027s)	Loss 221.70457 (248.06028)	Accuracy 0.625 (0.568)	 Cls Loss: 0.66456	 loss_cstency: 34.09535
